                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3103,                0.48718,                      1,                 1.3401,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.1035,                0.66667,                      1,                 1.2629,             0.00013297,             0.00013297,             0.00013297
                      3,                0.98816,                0.79487,                      1,                 1.1063,             0.00019886,             0.00019886,             0.00019886
                      4,                0.70821,                0.84615,                      1,                 1.0486,             0.00026192,             0.00026192,             0.00026192
                      5,                0.51126,                0.89744,                      1,                0.97592,             0.00032215,             0.00032215,             0.00032215
                      6,                0.40895,                0.89744,                      1,                 0.9418,             0.00037956,             0.00037956,             0.00037956
                      7,                0.69648,                0.94872,                      1,                0.93608,             0.00043413,             0.00043413,             0.00043413
                      8,                0.27687,                0.94872,                      1,                0.88354,             0.00048588,             0.00048588,             0.00048588
                      9,                0.28437,                0.94872,                      1,                0.85276,              0.0005348,              0.0005348,              0.0005348
                     10,                0.25051,                0.94872,                      1,                0.82303,              0.0005809,              0.0005809,              0.0005809
                     11,                0.19912,                0.94872,                      1,                0.81249,             0.00057263,             0.00057263,             0.00057263
                     12,                0.20617,                0.92308,                      1,                0.83127,             0.00055849,             0.00055849,             0.00055849
                     13,                0.53982,                0.94872,                      1,                0.81173,             0.00054435,             0.00054435,             0.00054435
                     14,                0.15879,                0.92308,                      1,                0.81989,             0.00053022,             0.00053022,             0.00053022
                     15,                0.13352,                0.92308,                      1,                0.80596,             0.00051608,             0.00051608,             0.00051608
                     16,                0.13005,                0.94872,                      1,                0.79032,             0.00050194,             0.00050194,             0.00050194
                     17,                0.16044,                0.94872,                      1,                0.80396,              0.0004878,              0.0004878,              0.0004878
                     18,                0.10021,                0.92308,                      1,                0.88013,             0.00047367,             0.00047367,             0.00047367
                     19,                0.06732,                0.92308,                      1,                0.79729,             0.00045953,             0.00045953,             0.00045953
                     20,                0.08675,                0.92308,                      1,                0.79606,             0.00044539,             0.00044539,             0.00044539
                     21,                0.45676,                0.94872,                      1,                 0.7918,             0.00043126,             0.00043126,             0.00043126
                     22,                0.09597,                0.97436,                      1,                 0.7818,             0.00041712,             0.00041712,             0.00041712
                     23,                0.42494,                0.97436,                      1,                0.78974,             0.00040298,             0.00040298,             0.00040298
                     24,                0.32208,                0.94872,                      1,                0.82461,             0.00038884,             0.00038884,             0.00038884
                     25,                 0.3071,                0.97436,                      1,                0.78578,             0.00037471,             0.00037471,             0.00037471
                     26,                0.10916,                0.97436,                      1,                0.77955,             0.00036057,             0.00036057,             0.00036057
                     27,                0.06048,                0.97436,                      1,                0.79716,             0.00034643,             0.00034643,             0.00034643
                     28,                0.07968,                0.97436,                      1,                 0.8044,              0.0003323,              0.0003323,              0.0003323
                     29,                0.10939,                0.97436,                      1,                 0.8431,             0.00031816,             0.00031816,             0.00031816
                     30,                0.08987,                0.97436,                      1,                0.82178,             0.00030402,             0.00030402,             0.00030402
                     31,                0.08726,                0.94872,                      1,                0.83123,             0.00028988,             0.00028988,             0.00028988
                     32,                0.05948,                0.97436,                      1,                0.78357,             0.00027575,             0.00027575,             0.00027575
                     33,                0.04813,                0.94872,                      1,                0.78489,             0.00026161,             0.00026161,             0.00026161
                     34,                0.35024,                0.94872,                      1,                0.82926,             0.00024747,             0.00024747,             0.00024747
                     35,                0.06824,                0.94872,                      1,                 0.7958,             0.00023334,             0.00023334,             0.00023334
                     36,                0.04831,                0.97436,                      1,                0.78378,              0.0002192,              0.0002192,              0.0002192
                     37,                0.04385,                0.97436,                      1,                0.84852,             0.00020506,             0.00020506,             0.00020506
                     38,                 0.0438,                0.94872,                      1,                0.80847,             0.00019092,             0.00019092,             0.00019092
                     39,                0.03905,                0.94872,                      1,                0.81415,             0.00017679,             0.00017679,             0.00017679
                     40,                0.32632,                0.94872,                      1,                0.83705,             0.00016265,             0.00016265,             0.00016265
                     41,                0.04829,                0.94872,                      1,                0.78545,             0.00014851,             0.00014851,             0.00014851
                     42,                0.06102,                0.97436,                      1,                0.81207,             0.00013437,             0.00013437,             0.00013437
                     43,                0.04865,                0.97436,                      1,                0.78429,             0.00012024,             0.00012024,             0.00012024
                     44,                 0.0388,                0.97436,                      1,                0.77669,              0.0001061,              0.0001061,              0.0001061
                     45,                0.45513,                0.97436,                      1,                0.77614,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.33608,                0.94872,                      1,                0.81662,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.44126,                0.94872,                      1,                0.78211,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.37167,                0.94872,                      1,                0.78259,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.07111,                0.92308,                      1,                0.78686,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.05141,                0.97436,                      1,                0.78692,             2.1277e-05,             2.1277e-05,             2.1277e-05
